fid,auc,go,caption,prot,text,class
23351,0.7279999852180481,catalytic activity,channel · metabolism · lipid · endoplasmic reticulum,True,False,protein-only
23547,0.7170000076293945,catalytic activity,channel · phosphatase · transferase,True,False,protein-only
23578,0.746999979019165,catalytic activity,channel · metabolism · mitochondrion,True,False,protein-only
23740,0.6629999876022339,catalytic activity,nucleus · DNA-binding · chromat · polymerase,True,False,protein-only
23845,0.6940000057220459,cell periphery,extracellular · receptor · secret · matrix · adhesion · neuron,True,False,protein-only
23995,0.7480000257492065,catalytic activity,develop · translation,True,False,protein-only
24084,0.7630000114440918,catalytic activity,metabolism · redox · reductase,True,False,protein-only
24168,0.7089999914169312,catalytic activity,channel · metabolism · lipid · endoplasmic reticulum · electron · redox,True,False,protein-only
24222,0.7120000123977661,catalytic activity,develop · neuron · DNA-binding,True,False,protein-only
24276,0.6510000228881836,protein metabolic process,nucleus · nuclear · DNA-binding · chromat · polymerase,True,False,protein-only
24297,0.6859999895095825,nucleic acid binding,transcription · nucleus · nuclear · chromat · develop · polymerase,True,False,protein-only
24571,0.6539999842643738,organic substance biosynthetic process,cytoskeleton,True,False,protein-only
24639,0.6909999847412109,nucleic acid binding,chromat · polymerase,True,False,protein-only
24729,0.7329999804496765,catalytic activity,channel · secret · transferase,True,False,protein-only
24814,0.656000018119812,catalytic activity,proton,True,False,protein-only
25106,0.7350000143051147,regulation of gene expression,transcription · nucleus · nuclear · DNA-binding · chromat · polymerase,True,False,protein-only
25264,0.6610000133514404,nucleic acid binding,nucleus · transcription · nuclear · chromat · polymerase · translation,True,False,protein-only
25513,0.6620000004768372,nucleic acid binding,nuclear · nucleus · transcription · develop · chromat · polymerase,True,False,protein-only
25644,0.6840000152587891,nucleic acid binding,cytoskeleton · matrix,True,False,protein-only
25752,0.6650000214576721,regulation of nucleobase-containing compound metabolic process,transcription · nucleus · nuclear · chromat · develop · DNA-binding,True,False,protein-only
26135,0.6830000281333923,nucleic acid binding,nucleus · nuclear · transcription · chromat · polymerase · zinc-finger,True,False,protein-only
26180,0.7590000033378601,catalytic activity,kinase · phosphatase · cytoskeleton,True,False,protein-only
26294,0.6639999747276306,catalytic activity,redox,True,False,protein-only
26368,0.6539999842643738,organic substance biosynthetic process,channel · metabolism · transferase · lipid · redox · endoplasmic reticulum,True,False,protein-only
26570,0.7739999890327454,catalytic activity,channel · metabolism · phosphatase · kinase · transferase,True,False,protein-only
26623,0.6629999876022339,catalytic activity,redox,True,True,co-firing
26913,0.7080000042915344,catalytic activity,kinase,True,False,protein-only
26920,0.7720000147819519,catalytic activity,phosphatase · proton,True,False,protein-only
27142,0.6690000295639038,cell periphery,extracellular · receptor · adhesion · synap · immune · neuron,True,False,protein-only
27708,0.6579999923706055,regulation of RNA metabolic process,transcription · nucleus · nuclear · DNA-binding · chromat · polymerase,True,False,protein-only
27771,0.6620000004768372,protein metabolic process,receptor · extracellular · neuron · secret · adhesion · synap,True,False,protein-only
28257,0.6610000133514404,biosynthetic process,channel · metabolism · transferase · redox · reductase,True,True,co-firing
28314,0.722000002861023,catalytic activity,transferase · develop · translation · ribosom,True,False,protein-only
28340,0.7319999933242798,organic substance biosynthetic process,neuron · atpase,True,False,protein-only
28357,0.6800000071525574,intracellular non-membrane-bounded organelle,ubiquitin,True,True,co-firing
28462,0.7720000147819519,catalytic activity,develop,True,False,protein-only
28536,0.6819999814033508,catalytic activity,kinase · phosphatase,True,False,protein-only
28865,0.7250000238418579,catalytic activity,channel · redox,True,False,protein-only
28917,0.6819999814033508,catalytic activity,metabolism · channel · transferase · redox · mitochondrion · reductase,True,False,protein-only
28981,0.6869999766349792,catalytic activity,metabolism · reductase · electron,True,False,protein-only
29061,0.6909999847412109,catalytic activity,channel · mitochondrion · redox,True,False,protein-only
29094,0.6650000214576721,nucleic acid binding,nucleus · nuclear · transcription · actin · chromat · polymerase,True,False,protein-only
29199,0.6650000214576721,nucleic acid binding,transcription · nucleus · nuclear · develop · chromat · polymerase,True,True,co-firing
29407,0.7409999966621399,catalytic activity,phosphatase · kinase · translation · gtpase,True,False,protein-only
29493,0.7450000047683716,catalytic activity,metabolism · transferase · phosphatase · redox · mitochondrion,True,False,protein-only
29897,0.7350000143051147,catalytic activity,metabolism · transferase,True,True,co-firing
29950,0.7409999966621399,regulation of RNA metabolic process,extracellular · secret · immune,True,False,protein-only
30084,0.6589999794960022,catalytic activity,channel,True,False,protein-only
30124,0.699999988079071,catalytic activity,kinase,True,True,co-firing
30180,0.6880000233650208,catalytic activity,transport · channel · extracellular · proton,True,True,co-firing
30283,0.7310000061988831,catalytic activity,metabolism · electron,True,False,protein-only
30739,0.718999981880188,catalytic activity,transport · lipid · develop · proton,True,False,protein-only
31031,0.6980000138282776,catalytic activity,phosphatase,True,False,protein-only
31112,0.6639999747276306,organic substance biosynthetic process,mitochondrion,True,True,co-firing
31208,0.6769999861717224,intracellular non-membrane-bounded organelle,ubiquitin,True,False,protein-only
31303,0.675000011920929,catalytic activity,phosphatase,True,True,co-firing
31452,0.7020000219345093,catalytic activity,metabolism · transferase · translation · proton,True,False,protein-only
31675,0.6970000267028809,catalytic activity,extracellular,True,False,protein-only
31873,0.6740000247955322,regulation of RNA metabolic process,nucleus · nuclear · transcription · RNA-binding · polymerase · chromat,True,False,protein-only
31891,0.7289999723434448,plasma membrane,extracellular · transport · lipid · proton · neuron,True,False,protein-only
32216,0.7289999723434448,catalytic activity,zinc-finger · gtpase,True,False,protein-only
32227,0.6970000267028809,catalytic activity,channel · transferase,True,False,protein-only
32232,0.7649999856948853,catalytic activity,channel · metabolism · transferase · redox · reductase,True,True,co-firing
32237,0.7440000176429749,catalytic activity,metabolism · matrix · redox,True,False,protein-only
32312,0.7239999771118164,catalytic activity,nucleus · nuclear · transcription · actin · polymerase · chromat,True,True,co-firing
32409,0.7059999704360962,catalytic activity,neuron · atpase,True,False,protein-only
32555,0.6669999957084656,catalytic activity,channel · metabolism · transferase,True,False,protein-only
32695,0.7139999866485596,catalytic activity,polymerase,True,False,protein-only
32797,0.6679999828338623,catalytic activity,phosphatase · atpase,True,False,protein-only
32819,0.6539999842643738,plasma membrane,extracellular · phosphatase · neuron · adhesion · differentiation,True,False,protein-only
33092,0.6520000100135803,cellular biosynthetic process,ubiquitin,True,False,protein-only
33127,0.7289999723434448,regulation of RNA metabolic process,nucleus · nuclear · transcription · chromat · polymerase · DNA-binding,True,False,protein-only
33195,0.7680000066757202,catalytic activity,channel · transferase · redox · mitochondrion · proton,True,False,protein-only
33216,0.734000027179718,catalytic activity,transferase · phosphatase · develop,True,False,protein-only
33255,0.796999990940094,catalytic activity,metabolism · channel · phosphatase · transferase · proton,True,False,protein-only
33415,0.8240000009536743,catalytic activity,metabolism · zinc-finger,True,False,protein-only
33418,0.7730000019073486,catalytic activity,metabolism · redox · reductase · proton,True,False,protein-only
33572,0.671999990940094,regulation of nucleobase-containing compound metabolic process,nucleus · nuclear · chromat,True,False,protein-only
33662,0.7059999704360962,protein metabolic process,cytoskeleton · ubiquitin · gtpase,True,False,protein-only
34004,0.6909999847412109,catalytic activity,cytoskeleton,True,False,protein-only
34009,0.6840000152587891,nucleic acid binding,nucleus · transcription · nuclear · chromat · develop · polymerase,True,False,protein-only
34078,0.734000027179718,catalytic activity,phosphatase · atpase · helicase,True,False,protein-only
34173,0.7329999804496765,plasma membrane,extracellular · lipid · phosphatase · translation · gtpase,True,False,protein-only
34285,0.7269999980926514,catalytic activity,kinase,True,False,protein-only
34459,0.75,cell periphery,extracellular · receptor · adhesion · synap · immune · neuron,True,False,protein-only
34760,0.7440000176429749,catalytic activity,redox,True,False,protein-only
34914,0.6880000233650208,protein metabolic process,cytoskeleton,True,False,protein-only
35294,0.6850000023841858,cell periphery,receptor · extracellular · secret · adhesion · matrix · neuron,True,True,co-firing
35363,0.6570000052452087,nucleic acid binding,nucleus · nuclear · chromat · zinc-finger,True,False,protein-only
35516,0.7599999904632568,catalytic activity,metabolism · channel · transferase · reductase · redox · mitochondrion,True,False,protein-only
35661,0.7789999842643738,catalytic activity,metabolism · channel · redox · reductase,True,False,protein-only
35824,0.6610000133514404,negative regulation of cellular process,actin · cytoskeleton · develop · neuron · vesicl · cortex,True,False,protein-only
35981,0.7099999785423279,catalytic activity,metabolism · phosphatase · transferase · redox · ribosom,True,False,protein-only
36021,0.7070000171661377,catalytic activity,metabolism · phosphatase · transferase · mitochondrion,True,False,protein-only
36044,0.7039999961853027,catalytic activity,atpase,True,False,protein-only
36071,0.8159999847412109,catalytic activity,metabolism · phosphatase · transferase · redox · mitochondrion,True,False,protein-only
36169,0.6769999861717224,catalytic activity,kinase · phosphatase,True,False,protein-only
36189,0.7020000219345093,catalytic activity,channel · metabolism,True,False,protein-only
36535,0.7200000286102295,regulation of RNA metabolic process,nucleus · nuclear · transcription · chromat · polymerase · DNA-binding,True,False,protein-only
36735,0.6620000004768372,protein metabolic process,endoplasmic reticulum,True,True,co-firing
36808,0.7580000162124634,catalytic activity,kinase · phosphatase · cytoskeleton,True,False,protein-only
36943,0.6949999928474426,nucleic acid binding,nuclear · chromat · develop,True,False,protein-only
37226,0.7379999756813049,catalytic activity,metabolism · transferase · channel · phosphatase,True,False,protein-only
37255,0.6579999923706055,cellular biosynthetic process,transferase,True,True,co-firing
37269,0.6790000200271606,catalytic activity,phosphatase,True,False,protein-only
37625,0.781000018119812,catalytic activity,channel,True,False,protein-only
38434,0.7540000081062317,catalytic activity,chromat · polymerase · DNA-binding,True,False,protein-only
38490,0.6660000085830688,positive regulation of metabolic process,nucleus · nuclear · develop · cytoskeleton · chromat,True,False,protein-only
38532,0.6570000052452087,positive regulation of metabolic process,nucleus · nuclear · transcription · chromat · polymerase · DNA-binding,True,True,co-firing
38602,0.6589999794960022,biosynthetic process,channel · metabolism · phosphatase · transferase,True,False,protein-only
38737,0.7369999885559082,catalytic activity,channel · transferase,True,False,protein-only
39274,0.7250000238418579,catalytic activity,transport · develop · electron,True,False,protein-only
39450,0.7160000205039978,negative regulation of cellular process,nucleus · nuclear · transcription · kinase · phosphatase · chromat,True,True,co-firing
39483,0.6769999861717224,cellular biosynthetic process,chaperone · chromat,True,False,protein-only
39574,0.6600000262260437,positive regulation of metabolic process,nucleus · kinase · chromat · cytoskeleton,True,False,protein-only
39784,0.7590000033378601,catalytic activity,channel · metabolism · phosphatase · transferase · atpase · redox,True,False,protein-only
39945,0.6859999895095825,protein metabolic process,receptor · extracellular · secret · matrix · protease,True,True,co-firing
39986,0.6679999828338623,organic substance biosynthetic process,lipid · matrix · mitochondrion,True,False,protein-only
39992,0.6589999794960022,negative regulation of biological process,actin · ubiquitin · develop · cytoskeleton · gtpase,True,False,protein-only
40087,0.6690000295639038,nucleic acid binding,nucleus · nuclear · translation · chromat,True,False,protein-only
40107,0.7509999871253967,catalytic activity,matrix,True,False,protein-only
40149,0.6710000038146973,nucleic acid binding,nucleus · nuclear · transcription · chromat · DNA-binding · polymerase,True,True,co-firing
40361,0.6930000185966492,catalytic activity,metabolism · develop · chromat,True,False,protein-only
40545,0.7279999852180481,catalytic activity,transferase · redox,True,False,protein-only
40635,0.6629999876022339,catalytic activity,kinase · phosphatase,True,False,protein-only
40708,0.6880000233650208,catalytic activity,zinc-finger · neuron · ubiquitin,True,False,protein-only
