feature,go_term,held_auc,raw_best,rand_best,margin,coherence,reasoning_caption
33255,hydrolase activity,0.763,0.738,0.755,0.009,0.0,metabolism · channel · phosphatase · transferase · proton
39236,kinase activity,0.763,0.842,0.864,-0.101,0.05,
15598,kinase activity,0.762,0.842,0.864,-0.101,0.0,
21703,kinase activity,0.762,0.842,0.864,-0.102,0.4,
22844,transporter activity,0.762,0.741,0.794,-0.032,0.15,
33195,oxidoreductase activity,0.762,0.838,0.841,-0.079,0.0,channel · transferase · redox · mitochondrion · proton
4719,oxidoreductase activity,0.761,0.838,0.841,-0.08,0.05,channel · metabolism · transferase · redox · mitochondrion
21651,kinase activity,0.761,0.842,0.864,-0.103,0.0,
34914,kinase activity,0.761,0.842,0.864,-0.103,0.05,cytoskeleton
23351,oxidoreductase activity,0.76,0.838,0.841,-0.081,0.05,channel · metabolism · lipid · endoplasmic reticulum
24179,kinase activity,0.76,0.842,0.864,-0.104,0.05,
40107,oxidoreductase activity,0.76,0.838,0.841,-0.081,0.0,matrix
2151,transcription regulator activity,0.759,0.781,0.81,-0.052,0.55,
10921,oxidoreductase activity,0.759,0.838,0.841,-0.082,0.25,metabolism · channel · phosphatase · transferase · redox · mitochondrion
17152,plasma membrane bounded cell projection organization,0.759,0.737,0.78,-0.021,0.15,
21396,transcription regulator activity,0.759,0.781,0.81,-0.052,0.3,nucleus · nuclear · develop · chromat · cytoskeleton · adhesion
24168,oxidoreductase activity,0.759,0.838,0.841,-0.082,0.2,channel · metabolism · lipid · endoplasmic reticulum · electron · redox
30739,transmembrane transporter activity,0.759,0.757,0.811,-0.051,0.55,transport · lipid · develop · proton
38919,kinase activity,0.759,0.842,0.864,-0.105,0.5,
17883,kinase activity,0.758,0.842,0.864,-0.106,0.55,
36692,plasma membrane bounded cell projection organization,0.758,0.737,0.78,-0.022,0.3,
4852,oxidoreductase activity,0.757,0.838,0.841,-0.084,0.05,channel · metabolism · reductase
9804,transmembrane transporter activity,0.757,0.757,0.811,-0.053,0.0,
16587,transmembrane transporter activity,0.757,0.757,0.811,-0.054,0.25,
20800,oxidoreductase activity,0.757,0.838,0.841,-0.084,0.05,
33966,kinase activity,0.757,0.842,0.864,-0.107,0.05,
8512,kinase activity,0.756,0.842,0.864,-0.108,0.0,
10644,kinase activity,0.756,0.842,0.864,-0.108,0.05,
14990,kinase activity,0.756,0.842,0.864,-0.108,0.1,
25106,transcription regulator activity,0.756,0.781,0.81,-0.054,0.25,transcription · nucleus · nuclear · DNA-binding · chromat · polymerase
28622,transcription regulator activity,0.756,0.781,0.81,-0.054,0.1,
29584,hydrolase activity,0.756,0.738,0.755,0.001,0.15,
2690,kinase activity,0.755,0.842,0.864,-0.109,0.4,
33415,oxidoreductase activity,0.755,0.838,0.841,-0.086,0.0,metabolism · zinc-finger
4,transcription regulator activity,0.754,0.781,0.81,-0.056,0.0,transcription · chromat
1679,oxidoreductase activity,0.754,0.838,0.841,-0.087,0.05,transferase · redox
