feature_id,band_class,fusion_class,go_label,go_auc,crossmodal_omega,crossmodal_pair,protein_frac,go_frac,text_frac,activation_freq,mean_activation,max_activation,n_proteins_active
9354,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0035,9.9843,32.5495,300
9352,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0003,8.2159,8.4223,300
9366,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0,2.1758,4.7391,14
9288,text-heavy,unimodal,none,0.0,0.037,none,0.0528,0.0,0.9472,0.0016,3.3358,6.3635,300
9292,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0,2.6367,2.6367,1
9293,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,1e-04,2.3345,3.6116,114
9294,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0016,3.4231,5.3634,288
9296,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0027,7.8979,29.2816,294
9297,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0003,8.2696,9.7642,300
9298,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0,2.1522,2.1522,1
9300,text-heavy,unimodal,none,0.0,0.0,none,0.0009,0.0,0.9991,0.0167,3.6404,7.0671,300
9301,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0007,5.246,11.2623,300
9303,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0005,3.7298,7.1062,193
9305,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0039,4.293,19.544,300
9306,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0038,4.7627,11.63,300
9307,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0008,8.4971,15.359,300
9308,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0063,7.1317,39.4834,300
9309,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0005,4.0758,10.4399,226
9331,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0008,9.4862,39.33,300
